"idP","nameP","nameType","uriAutor","nameAutor","uriMat","nameMat","uriTec","nameTec","noteP"
"1030","Nº 311","Silla","http://data.arxiuvalencia.eu/organization/3510","Vicente García Miralles","https://data.arxiuvalencia.eu/vocabulary/c_13bf7c15","Madera","https://data.arxiuvalencia.eu/vocabulary/c_e449f6f9","Ensamblado","El modelo de silla nº 311 está manufacturado mediante diversas técnicas, destacando el ensamblado, además de otros procesos técnicos como el encolado y el lijado para un acabado idóneo. El principal material empleado para la elaboración de esta silla es la madera. La silla nº 311 cuenta con dos patas delanteras ensambladas a la parte inferior del asiento y vienen acompañadas de refuerzos en la parte delantera y semicirculares en los laterales para aumentar la estabilidad de la silla. Las patas traseras se erigen verticalmente y adoptan una forma curvada hacia el exterior y se unen mediante un travesaño superior curvado. El respaldo cuenta con cuatro aldabas horizontales actuando de respaldo para el producto. El asiento está realizado con madera, como el resto del producto."
"10649","Magic","Estantería","http://data.arxiuvalencia.eu/organization/3307","Punt Mobles S.L.","https://data.arxiuvalencia.eu/vocabulary/c_13bf7c15","Madera","https://data.arxiuvalencia.eu/vocabulary/c_9422c511","Marquetería","La mesa Magic incorpora un nuevo concepto tipológico de mesa móvil plegable. Esta proyectada para ocupar un mínimo espacio plegada, tener fácil movilidad y sencilla manipulación. Mesa abatible móvil que puede plegarse y colocarse en posición vertical para ocupar poco espacio. La base es un contenedor cuyas puertas fijan la estabilidad de la superficie de la tapa.  Una vez abierta ofrece espacio para hasta 6 u 8 comensales. Está realizada en aplacado de madera de roble, con la chapa de la superficie de la tapa confeccionada en marquetería. Realizada en tablero rechapado de madera de fresno. Se comercializa en los acabados: roble natural combinado con nogal natural, teñido wengué o gris oscuro y lacado a poro abierto blanco, rojo o negro. La firma valenciana Punt Mobles la reproduce desde 2009. Magic es el nombre de este ingenioso modelo que por sus posibilidades, su capacidad de ocupar poco espacio en momentos oportunos y su estética depurada ha sabido buscarse un lugar en el mercado actual. Actualmente se realiza en madera de nogal disponible en acabado natural o wengué. Se convierte así en una opción interesantísima en una época en la que los pequeños apartamentos urbanos precisan de muebles polivalentes y poco aparatosos."
"10649","Magic","Estantería","http://data.arxiuvalencia.eu/organization/3307","Punt Mobles S.L.","https://data.arxiuvalencia.eu/vocabulary/c_13bf7c15","Madera","https://data.arxiuvalencia.eu/vocabulary/c_ce1f0114","Chapeado","La mesa Magic incorpora un nuevo concepto tipológico de mesa móvil plegable. Esta proyectada para ocupar un mínimo espacio plegada, tener fácil movilidad y sencilla manipulación. Mesa abatible móvil que puede plegarse y colocarse en posición vertical para ocupar poco espacio. La base es un contenedor cuyas puertas fijan la estabilidad de la superficie de la tapa.  Una vez abierta ofrece espacio para hasta 6 u 8 comensales. Está realizada en aplacado de madera de roble, con la chapa de la superficie de la tapa confeccionada en marquetería. Realizada en tablero rechapado de madera de fresno. Se comercializa en los acabados: roble natural combinado con nogal natural, teñido wengué o gris oscuro y lacado a poro abierto blanco, rojo o negro. La firma valenciana Punt Mobles la reproduce desde 2009. Magic es el nombre de este ingenioso modelo que por sus posibilidades, su capacidad de ocupar poco espacio en momentos oportunos y su estética depurada ha sabido buscarse un lugar en el mercado actual. Actualmente se realiza en madera de nogal disponible en acabado natural o wengué. Se convierte así en una opción interesantísima en una época en la que los pequeños apartamentos urbanos precisan de muebles polivalentes y poco aparatosos."
"10649","Magic","Mesa","http://data.arxiuvalencia.eu/organization/3307","Punt Mobles S.L.","https://data.arxiuvalencia.eu/vocabulary/c_13bf7c15","Madera","https://data.arxiuvalencia.eu/vocabulary/c_9422c511","Marquetería","La mesa Magic incorpora un nuevo concepto tipológico de mesa móvil plegable. Esta proyectada para ocupar un mínimo espacio plegada, tener fácil movilidad y sencilla manipulación. Mesa abatible móvil que puede plegarse y colocarse en posición vertical para ocupar poco espacio. La base es un contenedor cuyas puertas fijan la estabilidad de la superficie de la tapa.  Una vez abierta ofrece espacio para hasta 6 u 8 comensales. Está realizada en aplacado de madera de roble, con la chapa de la superficie de la tapa confeccionada en marquetería. Realizada en tablero rechapado de madera de fresno. Se comercializa en los acabados: roble natural combinado con nogal natural, teñido wengué o gris oscuro y lacado a poro abierto blanco, rojo o negro. La firma valenciana Punt Mobles la reproduce desde 2009. Magic es el nombre de este ingenioso modelo que por sus posibilidades, su capacidad de ocupar poco espacio en momentos oportunos y su estética depurada ha sabido buscarse un lugar en el mercado actual. Actualmente se realiza en madera de nogal disponible en acabado natural o wengué. Se convierte así en una opción interesantísima en una época en la que los pequeños apartamentos urbanos precisan de muebles polivalentes y poco aparatosos."
"10649","Magic","Mesa","http://data.arxiuvalencia.eu/organization/3307","Punt Mobles S.L.","https://data.arxiuvalencia.eu/vocabulary/c_13bf7c15","Madera","https://data.arxiuvalencia.eu/vocabulary/c_ce1f0114","Chapeado","La mesa Magic incorpora un nuevo concepto tipológico de mesa móvil plegable. Esta proyectada para ocupar un mínimo espacio plegada, tener fácil movilidad y sencilla manipulación. Mesa abatible móvil que puede plegarse y colocarse en posición vertical para ocupar poco espacio. La base es un contenedor cuyas puertas fijan la estabilidad de la superficie de la tapa.  Una vez abierta ofrece espacio para hasta 6 u 8 comensales. Está realizada en aplacado de madera de roble, con la chapa de la superficie de la tapa confeccionada en marquetería. Realizada en tablero rechapado de madera de fresno. Se comercializa en los acabados: roble natural combinado con nogal natural, teñido wengué o gris oscuro y lacado a poro abierto blanco, rojo o negro. La firma valenciana Punt Mobles la reproduce desde 2009. Magic es el nombre de este ingenioso modelo que por sus posibilidades, su capacidad de ocupar poco espacio en momentos oportunos y su estética depurada ha sabido buscarse un lugar en el mercado actual. Actualmente se realiza en madera de nogal disponible en acabado natural o wengué. Se convierte así en una opción interesantísima en una época en la que los pequeños apartamentos urbanos precisan de muebles polivalentes y poco aparatosos."
"1147","Nº 528","Silla","http://data.arxiuvalencia.eu/organization/3510","Vicente García Miralles","https://data.arxiuvalencia.eu/vocabulary/c_34181cad","Tejido","https://data.arxiuvalencia.eu/vocabulary/c_e449f6f9","Ensamblado","El modelo de silla nº 528 está manufacturado mediante diversas técnicas, destacando el ensamblado y el tapizado, además de otros procesos técnicos como el encolado y el lijado para un acabado idóneo. El principal material empleado para la elaboración de este producto es la madera. La silla nº 528 cuenta con dos patas delanteras aserradas ensambladas a la parte inferior del asiento y vienen acompañadas por refuerzos laterales para aumentar la estabilidad de la silla. Las patas traseras, aserradas, se erigen verticalmente con una ligera curva hacia el interior. El respaldo es plano y de madera, ocupando casi la totalidad del respaldo. El asiento está tapizado con motivos florales y las medidas de la silla son: 81 x 44 x 41 cm.Esta silla formaba parte del catálogo de Vicente García Miralles, una empresa fabricante de muebles curvados en Valencia, cuya sede se encontraba en la Avenida Giorgeta, 19 en la primera mitad del siglo XX y las primeras décadas del siglo XX. Una empresa que ofrecía sus productos en catálogos de venta, como el producto que nos ocupa. El catálogo mencionado ofrece una amplia colección de sillería y mobiliario, para los cuales solía emplear la madera de haya de primera calidad, pero no proporciona el precio de venta al mercado."
"1147","Nº 528","Silla","http://data.arxiuvalencia.eu/organization/3510","Vicente García Miralles","https://data.arxiuvalencia.eu/vocabulary/c_34181cad","Tejido","https://data.arxiuvalencia.eu/vocabulary/c_eda9831c","Tapizado","El modelo de silla nº 528 está manufacturado mediante diversas técnicas, destacando el ensamblado y el tapizado, además de otros procesos técnicos como el encolado y el lijado para un acabado idóneo. El principal material empleado para la elaboración de este producto es la madera. La silla nº 528 cuenta con dos patas delanteras aserradas ensambladas a la parte inferior del asiento y vienen acompañadas por refuerzos laterales para aumentar la estabilidad de la silla. Las patas traseras, aserradas, se erigen verticalmente con una ligera curva hacia el interior. El respaldo es plano y de madera, ocupando casi la totalidad del respaldo. El asiento está tapizado con motivos florales y las medidas de la silla son: 81 x 44 x 41 cm.Esta silla formaba parte del catálogo de Vicente García Miralles, una empresa fabricante de muebles curvados en Valencia, cuya sede se encontraba en la Avenida Giorgeta, 19 en la primera mitad del siglo XX y las primeras décadas del siglo XX. Una empresa que ofrecía sus productos en catálogos de venta, como el producto que nos ocupa. El catálogo mencionado ofrece una amplia colección de sillería y mobiliario, para los cuales solía emplear la madera de haya de primera calidad, pero no proporciona el precio de venta al mercado."
"1178","Nº 1000","Silla","http://data.arxiuvalencia.eu/organization/3510","Vicente García Miralles","https://data.arxiuvalencia.eu/vocabulary/c_34181cad","Tejido","https://data.arxiuvalencia.eu/vocabulary/c_e449f6f9","Ensamblado","El modelo de silla nº 1000 está manufacturado mediante diversas técnicas, destacando el ensamblado y el tapizado, además de otros procesos técnicos como el encolado y el lijado. Los principales materiales empleados para la elaboración de esta silla son la madera y el tejido, este último utilizado para el asiento del producto. La silla nº 1000 cuenta con dos patas delanteras rígidas ensambladas a la parte inferior del asiento y vienen acompañadas de dos refuerzos triangulares cada una de ellas para aumentar la estabilidad. Dos travesaños de mayor longitud y curvados vienen ensamblados en la parte trasera para cumplir la doble función de soporte y apoyo, actuando, así, como patas traseras y respaldo del producto. Ambos travesaños laterales se unen mediante un travesaño superior ondulante y tres aldabas ondulantes por la parte central, convirtiéndose en los únicos componentes horizontales y curvos de este modelo de sillería. El asiento está tapizado con un tejido que no emplea motivos decorativos."
"1178","Nº 1000","Silla","http://data.arxiuvalencia.eu/organization/3510","Vicente García Miralles","https://data.arxiuvalencia.eu/vocabulary/c_34181cad","Tejido","https://data.arxiuvalencia.eu/vocabulary/c_eda9831c","Tapizado","El modelo de silla nº 1000 está manufacturado mediante diversas técnicas, destacando el ensamblado y el tapizado, además de otros procesos técnicos como el encolado y el lijado. Los principales materiales empleados para la elaboración de esta silla son la madera y el tejido, este último utilizado para el asiento del producto. La silla nº 1000 cuenta con dos patas delanteras rígidas ensambladas a la parte inferior del asiento y vienen acompañadas de dos refuerzos triangulares cada una de ellas para aumentar la estabilidad. Dos travesaños de mayor longitud y curvados vienen ensamblados en la parte trasera para cumplir la doble función de soporte y apoyo, actuando, así, como patas traseras y respaldo del producto. Ambos travesaños laterales se unen mediante un travesaño superior ondulante y tres aldabas ondulantes por la parte central, convirtiéndose en los únicos componentes horizontales y curvos de este modelo de sillería. El asiento está tapizado con un tejido que no emplea motivos decorativos."
"1182","Nº 1013","Silla","http://data.arxiuvalencia.eu/organization/3510","Vicente García Miralles","https://data.arxiuvalencia.eu/vocabulary/c_34181cad","Tejido","https://data.arxiuvalencia.eu/vocabulary/c_e449f6f9","Ensamblado","El modelo de silla nº 1013 está manufacturado mediante diversas técnicas, destacando el ensamblado y el tapizado, además de otros procesos técnicos como el encolado y el lijado. Los principales materiales empleados para la elaboración de esta silla son la madera y el tejido, este último utilizado para el asiento del producto. La silla nº 1013 cuenta con dos patas delanteras ensambladas a la parte inferior del asiento y vienen acompañadas de dos chambranas que se unen a los travesaños traseros para aumentar la estabilidad. Dos travesaños de mayor longitud y curvados vienen ensamblados en la parte trasera para cumplir la doble función de soporte y apoyo, actuando, así, como patas traseras y respaldo del producto. Ambos travesaños laterales se unen a un travesaño superior de carácter horizontal y, en el medio del respaldo, se genera un juego de claroscuro mediante dos aldabas anchas y dos aldabas finas en medio de las anteriores. El asiento está tapizado y no incluye motivos decorativos."
